country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
IND,1994,61.007,60.216,59.483,26.399,73.601,2.02085601987654,10.2479355556119,9.98004477517911,327275583539.559,346.227393126043,4.52513381100772,323108717813.725,2.66467372708604,34153869436.2963,49.8113098144531,15.5277562103089,53.73,64.8408399076747,
IND,1993,60.65,59.815,59.054,26.191,73.809,2.04783736093956,6.32689048779867,9.86178285277913,279295644530.09,301.500786402084,2.6274658625137,275444137041.929,2.82354224568723,30729964226.0953,50.9,16.793863541643,52.08,65.451556984786,
IND,1992,60.335,59.452,58.66,25.984,74.016,2.07434424472354,11.7878170418135,8.96515236042887,288208066640.584,317.558734692935,3.31686593497029,283798974584.144,2.70483970561409,31458044431.6834,,16.179919526912,50.93,65.7443386587798,
IND,1991,59.956,59.055,58.256,25.778,74.222,2.10189105362679,13.8702461773683,13.7518189426722,270105341879.226,303.850437957407,-1.0451054689607,265995400854.861,2.90997432764267,29924231403.9138,,16.7972029517343,49.15,67.0180739016105,6.02975988388062
IND,1990,59.537,58.652,57.876,25.547,74.453,2.14114053890499,8.97123250273256,10.6683038500875,320979026420.035,368.749759408129,3.2978540660614,316775332518.038,3.14621461029962,36224062036.939,,15.5783072295003,47.88,67.0751335829935,5.94715023040771
IND,1989,59.064,58.233,57.511,25.305,74.695,2.16921748136657,7.07428002942298,8.43680886909797,296042058867.01,347.46203694908,3.67386255865014,292602581800.359,3.53417972767288,34233599993.9984,,16.3941296355506,47.38,68.1713905292157,5.74981021881104
IND,1988,58.546,57.777,57.113,25.063,74.937,2.184281790986,9.38347186185332,8.23251536870477,296589677725.074,355.738417959806,7.25916602295547,293483990412.157,3.72867178276269,34417334620.0782,,16.6695970281774,44.88,70.1195266843695,5.53362989425659
IND,1987,57.999,57.315,56.726,24.823,75.177,2.21094603012958,8.80112581251833,9.32789330598244,279033584092.223,342.071923724964,1.69196209134009,277014075282.415,4.2313175270108,33285953697.0351,,19.7211946010662,40.83,71.4496027763496,6.33130979537964
IND,1986,57.459,56.835,56.299,24.585,75.415,2.23527124737904,8.72972072702588,6.78940045356175,248985994042.212,312.059843944546,2.46050528763675,247574348947.767,4.10646868066223,28758522474.6722,,24.4108469778058,41.1,73.1591191769959,5.98726987838745
IND,1985,56.898,56.334,55.849,24.348,75.652,2.24836240132238,5.55642423236555,7.19378544452942,232511561180.057,297.999256830726,2.9142065932041,231343831062.693,3.5690302776083,25413961532.8784,,25.3459734937148,40.49,72.9789156738049,5.82862997055054
